agedays,param,sd.median
2588,HEADCM,
2589,HEADCM,
2590,HEADCM,
2591,HEADCM,
2592,HEADCM,
2593,HEADCM,
2594,HEADCM,
2595,HEADCM,
2596,HEADCM,
2597,HEADCM,
2598,HEADCM,
2599,HEADCM,
2600,HEADCM,
2601,HEADCM,
2602,HEADCM,
2603,HEADCM,
2604,HEADCM,
2605,HEADCM,
2606,HEADCM,
2607,HEADCM,
2608,HEADCM,
2609,HEADCM,
2610,HEADCM,
2611,HEADCM,
2612,HEADCM,
2613,HEADCM,
2614,HEADCM,
2615,HEADCM,
2616,HEADCM,
2617,HEADCM,
2618,HEADCM,
2619,HEADCM,
2620,HEADCM,
2621,HEADCM,
2622,HEADCM,
2623,HEADCM,
2624,HEADCM,
2625,HEADCM,
2626,HEADCM,
2627,HEADCM,
2628,HEADCM,
2629,HEADCM,
2630,HEADCM,
2631,HEADCM,
2632,HEADCM,
2633,HEADCM,
2634,HEADCM,
2635,HEADCM,
2636,HEADCM,
2637,HEADCM,
2638,HEADCM,
2639,HEADCM,
2640,HEADCM,
2641,HEADCM,
2642,HEADCM,
2643,HEADCM,
2644,HEADCM,
2645,HEADCM,
2646,HEADCM,
2647,HEADCM,
2648,HEADCM,
2649,HEADCM,
2650,HEADCM,
2651,HEADCM,
2652,HEADCM,
2653,HEADCM,
2654,HEADCM,
2655,HEADCM,
2656,HEADCM,
2657,HEADCM,
2658,HEADCM,
2659,HEADCM,
2660,HEADCM,
2661,HEADCM,
2662,HEADCM,
2663,HEADCM,
2664,HEADCM,
2665,HEADCM,
2666,HEADCM,
2667,HEADCM,
2668,HEADCM,
2669,HEADCM,
2670,HEADCM,
2671,HEADCM,
2672,HEADCM,
2673,HEADCM,
2674,HEADCM,
2675,HEADCM,
2676,HEADCM,
2677,HEADCM,
2678,HEADCM,
2922,HEADCM,
2923,HEADCM,
2924,HEADCM,
2925,HEADCM,
2926,HEADCM,
2927,HEADCM,
2928,HEADCM,
2929,HEADCM,
2930,HEADCM,
2931,HEADCM,
2932,HEADCM,
2933,HEADCM,
2934,HEADCM,
2935,HEADCM,
2936,HEADCM,
2937,HEADCM,
2938,HEADCM,
2939,HEADCM,
2940,HEADCM,
2941,HEADCM,
2942,HEADCM,
2943,HEADCM,
2944,HEADCM,
2945,HEADCM,
2946,HEADCM,
2947,HEADCM,
2948,HEADCM,
2949,HEADCM,
2950,HEADCM,
2951,HEADCM,
2952,HEADCM,
2953,HEADCM,
2954,HEADCM,
2955,HEADCM,
2956,HEADCM,
2957,HEADCM,
2958,HEADCM,
2959,HEADCM,
2960,HEADCM,
2961,HEADCM,
2962,HEADCM,
2963,HEADCM,
2964,HEADCM,
2965,HEADCM,
2966,HEADCM,
2967,HEADCM,
2968,HEADCM,
2969,HEADCM,
2970,HEADCM,
2971,HEADCM,
2972,HEADCM,
2973,HEADCM,
2974,HEADCM,
2975,HEADCM,
2976,HEADCM,
2977,HEADCM,
2978,HEADCM,
2979,HEADCM,
2980,HEADCM,
2981,HEADCM,
2982,HEADCM,
2983,HEADCM,
2984,HEADCM,
2985,HEADCM,
2986,HEADCM,
2987,HEADCM,
2988,HEADCM,
2989,HEADCM,
2990,HEADCM,
2991,HEADCM,
2992,HEADCM,
2993,HEADCM,
2994,HEADCM,
2995,HEADCM,
2996,HEADCM,
2997,HEADCM,
2998,HEADCM,
2999,HEADCM,
3000,HEADCM,
3001,HEADCM,
3002,HEADCM,
3003,HEADCM,
3004,HEADCM,
3005,HEADCM,
3006,HEADCM,
3007,HEADCM,
3008,HEADCM,
3009,HEADCM,
3010,HEADCM,
3011,HEADCM,
3012,HEADCM,
3013,HEADCM,
3014,HEADCM,
3015,HEADCM,
3016,HEADCM,
3017,HEADCM,
3018,HEADCM,
3019,HEADCM,
3020,HEADCM,
3021,HEADCM,
3022,HEADCM,
3023,HEADCM,
3024,HEADCM,
3025,HEADCM,
3026,HEADCM,
3027,HEADCM,
3028,HEADCM,
3029,HEADCM,
3030,HEADCM,
3031,HEADCM,
3032,HEADCM,
3033,HEADCM,
3034,HEADCM,
3035,HEADCM,
3036,HEADCM,
3037,HEADCM,
3038,HEADCM,
3039,HEADCM,
3040,HEADCM,
3041,HEADCM,
3042,HEADCM,
3043,HEADCM,
3288,HEADCM,
3289,HEADCM,
3290,HEADCM,
3291,HEADCM,
3292,HEADCM,
3293,HEADCM,
3294,HEADCM,
3295,HEADCM,
3296,HEADCM,
3297,HEADCM,
3298,HEADCM,
3299,HEADCM,
3300,HEADCM,
3301,HEADCM,
3302,HEADCM,
3303,HEADCM,
3304,HEADCM,
3305,HEADCM,
3306,HEADCM,
3307,HEADCM,
3308,HEADCM,
3309,HEADCM,
3310,HEADCM,
3311,HEADCM,
3312,HEADCM,
3313,HEADCM,
3314,HEADCM,
3315,HEADCM,
3316,HEADCM,
3317,HEADCM,
3318,HEADCM,
3319,HEADCM,
3320,HEADCM,
3321,HEADCM,
3322,HEADCM,
3323,HEADCM,
3324,HEADCM,
3325,HEADCM,
3326,HEADCM,
3327,HEADCM,
3328,HEADCM,
3329,HEADCM,
3330,HEADCM,
3331,HEADCM,
3332,HEADCM,
3333,HEADCM,
3334,HEADCM,
3335,HEADCM,
3336,HEADCM,
3337,HEADCM,
3338,HEADCM,
3339,HEADCM,
3340,HEADCM,
3341,HEADCM,
3342,HEADCM,
3343,HEADCM,
3344,HEADCM,
3345,HEADCM,
3346,HEADCM,
3347,HEADCM,
3348,HEADCM,
3349,HEADCM,
3350,HEADCM,
3351,HEADCM,
3352,HEADCM,
3353,HEADCM,
3354,HEADCM,
3355,HEADCM,
3356,HEADCM,
3357,HEADCM,
3358,HEADCM,
3359,HEADCM,
3360,HEADCM,
3361,HEADCM,
3362,HEADCM,
3363,HEADCM,
3364,HEADCM,
3365,HEADCM,
3366,HEADCM,
3367,HEADCM,
3368,HEADCM,
3369,HEADCM,
3370,HEADCM,
3371,HEADCM,
3372,HEADCM,
3373,HEADCM,
3374,HEADCM,
3375,HEADCM,
3376,HEADCM,
3377,HEADCM,
3378,HEADCM,
3379,HEADCM,
3380,HEADCM,
3381,HEADCM,
3382,HEADCM,
3383,HEADCM,
3384,HEADCM,
3385,HEADCM,
3386,HEADCM,
3387,HEADCM,
3388,HEADCM,
3389,HEADCM,
3390,HEADCM,
3391,HEADCM,
3392,HEADCM,
3393,HEADCM,
3394,HEADCM,
3395,HEADCM,
3396,HEADCM,
3397,HEADCM,
3398,HEADCM,
3399,HEADCM,
3400,HEADCM,
3401,HEADCM,
3402,HEADCM,
3403,HEADCM,
3404,HEADCM,
3405,HEADCM,
3406,HEADCM,
3407,HEADCM,
3408,HEADCM,
3653,HEADCM,
3654,HEADCM,
3655,HEADCM,
3656,HEADCM,
3657,HEADCM,
3658,HEADCM,
3659,HEADCM,
3660,HEADCM,
3661,HEADCM,
3662,HEADCM,
3663,HEADCM,
3664,HEADCM,
3665,HEADCM,
3666,HEADCM,
3667,HEADCM,
3668,HEADCM,
3669,HEADCM,
3670,HEADCM,
3671,HEADCM,
3672,HEADCM,
3673,HEADCM,
3674,HEADCM,
3675,HEADCM,
3676,HEADCM,
3677,HEADCM,
3678,HEADCM,
3679,HEADCM,
3680,HEADCM,
3681,HEADCM,
3682,HEADCM,
3683,HEADCM,
3684,HEADCM,
3685,HEADCM,
3686,HEADCM,
3687,HEADCM,
3688,HEADCM,
3689,HEADCM,
3690,HEADCM,
3691,HEADCM,
3692,HEADCM,
3693,HEADCM,
3694,HEADCM,
3695,HEADCM,
3696,HEADCM,
3697,HEADCM,
3698,HEADCM,
3699,HEADCM,
3700,HEADCM,
3701,HEADCM,
3702,HEADCM,
3703,HEADCM,
3704,HEADCM,
3705,HEADCM,
3706,HEADCM,
3707,HEADCM,
3708,HEADCM,
3709,HEADCM,
3710,HEADCM,
3711,HEADCM,
3712,HEADCM,
3713,HEADCM,
3714,HEADCM,
3715,HEADCM,
3716,HEADCM,
3717,HEADCM,
3718,HEADCM,
3719,HEADCM,
3720,HEADCM,
3721,HEADCM,
3722,HEADCM,
3723,HEADCM,
3724,HEADCM,
3725,HEADCM,
3726,HEADCM,
3727,HEADCM,
3728,HEADCM,
3729,HEADCM,
3730,HEADCM,
3731,HEADCM,
3732,HEADCM,
3733,HEADCM,
3734,HEADCM,
3735,HEADCM,
3736,HEADCM,
3737,HEADCM,
3738,HEADCM,
3739,HEADCM,
3740,HEADCM,
3741,HEADCM,
3742,HEADCM,
3743,HEADCM,
3744,HEADCM,
3745,HEADCM,
3746,HEADCM,
3747,HEADCM,
3748,HEADCM,
3749,HEADCM,
3750,HEADCM,
3751,HEADCM,
3752,HEADCM,
3753,HEADCM,
3754,HEADCM,
3755,HEADCM,
3756,HEADCM,
3757,HEADCM,
3758,HEADCM,
3759,HEADCM,
3760,HEADCM,
3761,HEADCM,
3762,HEADCM,
3763,HEADCM,
