agedays,sex,cdc_wt_l,cdc_wt_m,cdc_wt_s,cdc_ht_l,cdc_ht_m,cdc_ht_s,cdc_hc_l,cdc_hc_m,cdc_hc_s,cdc_wt_csd_pos,cdc_wt_csd_neg,cdc_ht_csd_pos,cdc_ht_csd_neg,cdc_hc_csd_pos,cdc_hc_csd_neg,cdc_bmi_l,cdc_bmi_m,cdc_bmi_s,cdc_bmi_csd_pos,cdc_bmi_csd_neg
41,0,1.1360811,4.7511168,.13771684,-.341528,56.119114,.044568285,3.9496431,38.94894,.041689858,.64327955,.66830003,2.6585045,2.3587456,1.4554272,1.8733025,,,,,
41,1,1.1404283,4.4345789,.13258319,-.15018968,54.810249,.043776788,-1.5696447,37.726456,.038639754,.57807541,.60038316,2.5249653,2.2830448,1.619833,1.3269043,,,,,
42,0,1.1214281,4.7788601,.13744521,-.36621082,56.230595,.044466142,3.9327228,39.005669,.041525297,.64694691,.66929448,2.6604366,2.3559132,1.4531898,1.8656559,,,,,
42,1,1.1328336,4.4583673,.13239765,-.12837307,54.914192,.043701492,-1.5723538,37.781353,.038512688,.58090043,.60204589,2.5226402,2.2856979,1.6164551,1.3247318,,,,,
43,0,1.1068847,4.8065128,.13717677,-.39038718,56.340893,.044366963,3.9156463,39.061718,.041363675,.65060353,.67029381,2.6624031,2.3532238,1.4510021,1.8581352,,,,,
43,1,1.1252952,4.4820895,.13221386,-.1068143,55.017151,.043628372,-1.5749147,37.835606,.038388014,.58371592,.6037029,2.5204277,2.2883778,1.6131344,1.322607,,,,,
44,0,1.0924522,4.8340745,.13691147,-.41407013,56.450043,.044270605,3.8984199,39.117104,.041204896,.65424919,.67129779,2.6644039,2.3506718,1.4488621,1.8507385,,,,,
44,1,1.1178119,4.5057445,.13203178,-.085510999,55.119164,.043557324,-1.5773299,37.889233,.038265653,.58652186,.60535395,2.5183277,2.2910843,1.6098728,1.3205261,,,,,
45,0,1.0781317,4.861546,.13664922,-.43727264,56.558098,.044176925,3.8810501,39.171844,.041048858,.65788412,.6723063,2.6664352,2.3482494,1.4467659,1.8434601,,,,,
45,1,1.1103834,4.5293326,.13185139,-.064460784,55.220264,.043488231,-1.5796019,37.942249,.038145524,.58931804,.60699928,2.5163326,2.2938118,1.6066647,1.3184891,,,,,
46,0,1.0640112,4.8889337,.13638833,-.46035534,56.666576,.044080425,3.8637006,39.226479,.040892415,.6614933,.67332101,2.6682606,2.3457127,1.4446278,1.8361778,,,,,
46,1,1.1029978,4.5528555,.13167183,-.043666404,55.321609,.043416943,-1.5817869,37.995155,.038025029,.59210229,.60863388,2.5142422,2.296402,1.6034145,1.3164291,,,,,
47,0,1.0501696,4.9162426,.13612723,-.48364475,56.776871,.043976143,3.8465192,39.281483,.040732715,.66506338,.67434263,2.6696625,2.3428364,1.4423656,1.8287792,,,,,
47,1,1.0956447,4.576313,.13149238,-.023130095,55.424259,.043339703,-1.5839359,38.048409,.037901822,.59487152,.61025381,2.511879,2.2987041,1.6000366,1.3142853,,,,,
48,0,1.0364419,4.9434628,.13586904,-.50648397,56.886158,.04387423,3.8292103,39.335884,.040575542,.66862154,.67536855,2.6710796,2.3400745,1.4401417,1.8214912,,,,,
48,1,1.0883443,4.5997043,.1313145,-.0028396244,55.52607,.043264195,-1.5859481,38.101086,.037780669,.59763122,.61186755,2.5096092,2.3010216,1.5967064,1.3121796,,,,,
49,0,1.0228277,4.9705939,.13561374,-.5288794,56.994453,.04377465,3.8117776,39.38969,.040420856,.67216754,.67639828,2.672514,2.3374271,1.4379597,1.8143139,,,,,
49,1,1.0810961,4.6230302,.13113821,.017207474,55.627048,.04319039,-1.5878253,38.153202,.037661534,.60038137,.61347568,2.5074291,2.3033504,1.5934258,1.310112,,,,,
50,0,1.0093268,4.9976363,.1353613,-.55083758,57.101772,.043677349,3.7942243,39.442913,.040268615,.67570162,.67743206,2.6739655,2.3348866,1.4358139,1.8072414,,,,,
50,1,1.0738994,4.6462903,.13096347,.037013669,55.727211,.043118253,-1.589569,38.204762,.037544385,.603122,.61507785,2.5053387,2.3056927,1.5901928,1.3080845,,,,,
51,0,.99593878,5.02459,.13511169,-.57236487,57.208134,.043582283,3.7765546,39.49556,.040118784,.67922401,.67846966,2.6754322,2.3324547,1.4337101,1.8002758,,,,,
51,1,1.0667539,4.6694846,.13079028,.056581434,55.826569,.043047749,-1.5911807,38.255775,.037429191,.60585332,.61667418,2.503336,2.3080482,1.5870075,1.3060932,,,,,
52,0,.98266333,5.051456,.13486487,-.59346777,57.313549,.043489411,3.7587714,39.547634,.039971314,.68273425,.67951119,2.676918,2.3301296,1.4316425,1.7934132,,,,,
52,1,1.0596589,4.6926136,.13061862,.075913236,55.925137,.042978846,-1.592662,38.306252,.037315916,.60857511,.61826468,2.5014191,2.3104172,1.5838699,1.3041401,,,,,
53,0,.96950006,5.0782342,.1346208,-.61415279,57.418037,.043398689,3.7408791,39.599148,.039826173,.68623281,.6805563,2.678421,2.3279057,1.4296131,1.7866516,,,,,
53,1,1.0526139,4.7156773,.13044843,.095011547,56.022926,.042911511,-1.5940146,38.356194,.03720453,.61128736,.61984944,2.4995842,2.3127995,1.58078,1.3022232,,,,,
54,0,.95644873,5.1049247,.13437946,-.63442624,57.52161,.043310065,3.7228806,39.650108,.039683316,.6897192,.68160522,2.6799412,2.3257828,1.4276218,1.7799931,,,,,
54,1,1.0456184,4.7386761,.13027975,.11387883,56.119953,.042845715,-1.5952401,38.405613,.037094995,.61399055,.62142861,2.4978313,2.3151951,1.577734,1.3003426,,,,,
55,0,.94350898,5.1315279,.13414082,-.65429473,57.624287,.0432235,3.7047799,39.700527,.039542705,.69319391,.6826576,2.6814785,2.3237591,1.4256687,1.7734318,,,,,
55,1,1.0386719,4.76161,.13011251,.13251756,56.216221,.042781416,-1.5963401,38.454517,.036987279,.61668444,.62300193,2.4961605,2.3176022,1.5747356,1.2984982,,,,,
56,0,.93068051,5.1580443,.13390483,-.67376459,57.726082,.043138944,3.6865804,39.750408,.039404299,.69665694,.68371344,2.683033,2.3218307,1.4237499,1.7669678,,,,,
56,1,1.0317738,4.7844796,.12994674,.15093021,56.311752,.042718589,-1.597316,38.502911,.036881354,.61936927,.62456965,2.494566,2.3200207,1.5717812,1.2966881,,,,,
57,0,.91796291,5.1844745,.13367149,-.69284236,57.827011,.043056354,3.6682858,39.799763,.039268058,.70010805,.68477297,2.6846046,2.3199978,1.4218693,1.760601,,,,,
57,1,1.0249236,4.8072844,.12978238,.16911925,56.406551,.0426572,-1.5981696,38.550808,.03677718,.6220448,.62613177,2.4930477,2.3224525,1.5688705,1.2949142,,,,,
58,0,.90535593,5.2108178,.13344073,-.7115345,57.92709,.042975686,3.6499,39.848602,.03913394,.70354748,.68583572,2.6861954,2.3182545,1.420023,1.7543278,,,,,
58,1,1.0181206,4.8300247,.12961943,.18708715,56.500637,.042597212,-1.5989023,38.598213,.036674727,.62471104,.62768817,2.4916058,2.3248959,1.5660038,1.2931747,,,,,
59,0,.89285922,5.2370753,.13321255,-.72984737,58.026333,.042896893,3.6314261,39.896927,.039001908,.70697498,.68690193,2.6878033,2.3166027,1.4182129,1.7481461,,,,,
59,1,1.0113647,4.8527012,.12945788,.20483638,56.594021,.042538594,-1.5995159,38.645134,.036573958,.62736845,.62923908,2.4902363,2.3273506,1.563179,1.2914677,,,,,
60,0,.88047248,5.2632465,.1329869,-.74778754,58.124756,.042819932,3.6128678,39.944752,.038871922,.71039057,.68797135,2.6894264,2.3150368,1.4164352,1.7420559,,,,,
60,1,1.0046549,4.8753138,.12929769,.2223694,56.68671,.042481318,-1.6000119,38.691578,.036474846,.6300168,.63078427,2.4889374,2.3298168,1.5603981,1.2897949,,,,,
61,0,.8681953,5.2893329,.13276376,-.76536143,58.222374,.042744756,3.594229,39.992081,.038743936,.71379471,.689044,2.6910667,2.3135548,1.4146938,1.7360535,,,,,
61,1,.99799091,4.8978624,.12913886,.23968868,56.778725,.042425342,-1.6003919,38.737556,.036377352,.63265586,.63232398,2.487709,2.3322926,1.5576572,1.2881546,,,,,
62,0,.85602742,5.3153338,.13254309,-.78257543,58.319206,.042671315,3.5755131,40.038925,.038617916,.71718669,.69011986,2.6927242,2.3121567,1.4129848,1.7301407,,,,,
62,1,.99137217,4.9203472,.12898135,.25679672,56.870071,.04237064,-1.6006573,38.78307,.036281448,.63528609,.63385808,2.4865475,2.3347797,1.5549583,1.2865467,,,,,
63,0,.84396851,5.3412499,.13232486,-.79943603,58.415264,.042599574,3.5567236,40.085293,.03849382,.72056723,.69119883,2.6943951,2.3108387,1.4113083,1.7243118,,,,,
63,1,.98479813,4.9427691,.12882517,.27369595,56.960766,.042317174,-1.6008101,38.828136,.036187097,.63790751,.63538682,2.4854527,2.3372765,1.5522976,1.2849712,,,,,
64,0,.83201826,5.3670812,.13210903,-.81594974,58.510563,.042529482,3.5378642,40.131195,.038371604,.7239356,.69228077,2.6960831,2.3096008,1.4096642,1.7185688,,,,,
64,1,.97826827,4.9651275,.12867028,.29038885,57.050816,.042264916,-1.6008515,38.872753,.036094267,.6405201,.63690984,2.4844227,2.3397827,1.5496788,1.2834244,,,,,
65,0,.82017624,5.392828,.13189557,-.83212298,58.605125,.042460993,3.5189388,40.176632,.038251232,.7272923,.69336557,2.6977844,2.3084373,1.4080524,1.7129078,,,,,
65,1,.97178203,4.9874229,.12851666,.30687788,57.14024,.042213831,-1.6007833,38.916939,.036002923,.64312363,.63842726,2.4834538,2.3422985,1.5470963,1.2819099,,,,,
66,0,.80844223,5.4184914,.13168447,-.8479622,58.698956,.042394064,3.4999506,40.221622,.038132664,.73063731,.69445348,2.6995029,2.3073483,1.4064693,1.7073269,,,,,
66,1,.96533889,5.0096555,.12836431,.32316557,57.22905,.042163882,-1.600607,38.960693,.035913032,.64571857,.63993931,2.4825459,2.3448219,1.5445518,1.2804241,,,,,
67,0,.79681587,5.4440708,.13147567,-.86347383,58.79208,.042328648,3.4809031,40.266167,.038015857,.7339704,.69554424,2.701231,2.3063316,1.4049187,1.7018261,,,,,
67,1,.9589383,5.0318251,.1282132,.33925432,57.317257,.042115044,-1.6003243,39.004025,.035824563,.64830446,.64144576,2.4816971,2.347353,1.5420456,1.2789669,,,,,
68,0,.78529686,5.4695663,.13126914,-.87866431,58.884506,.0422647,3.4618006,40.310276,.037900776,.73729134,.69663763,2.7029724,2.3053837,1.4033966,1.6964035,,,,,
68,1,.95257974,5.0539327,.12806329,.35514662,57.404869,.042067278,-1.5999366,39.046947,.035737485,.65088153,.64294672,2.4809074,2.3498917,1.5395756,1.2775402,,,,,
